Date,Name,Tm,G,TBF,ERA,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG,OBP,SLG,wOBA,playerId
"2024-04-17","Jake Irvin","WSN",1,5,0,1,0,0,0,0,0,1,0,0,1,0.25,0.4,0.25,0.3150378346443176,21504
"2024-04-17","Ben Lively","CLE",1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,14932
"2024-04-17","Trevor Rogers","MIA",1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22286
"2024-04-17","Brady Singer","KCR",1,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,25377
"2024-04-18","Ryan Pepiot","TBR",1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,26221
"2024-04-19","Brayan Bello","BOS",1,5,0,0,0,0,0,0,0,1,0,0,1,0,0.2,0,0.13814568519592285,23920
"2024-04-19","Jameson Taillon","CHC",1,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,11674
"2024-04-19","Blake Snell","SFG",1,4,0,1,0,0,0,0,0,0,0,0,0,0.25,0.25,0.25,0.22111518681049347,13543
"2024-04-19","Chris Sale","ATL",1,4,9,1,0,0,1,1,1,0,0,0,0,0.25,0.25,1,0.5149495005607605,10603
"2024-04-19","Nick Lodolo","CIN",1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,26378
"2024-04-19","Dean Kremer","BAL",1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,19350
"2024-04-20","Randy Vasquez","SDP",1,6,0,2,1,0,3,0,1,0,0,0,1,0.333333333,0.333333333,1,0.5532040993372599,24719
"2024-04-20","Mitch Keller","PIT",1,7,18,3,0,1,2,2,0,1,0,0,0,0.5,0.571428571,0.833333333,0.579506550516401,17594
"2024-04-20","Zac Gallen","ARI",1,7,18,4,0,0,2,2,1,0,0,0,1,0.666666666,0.571428571,1.166666666,0.6733114634241376,19291
"2024-04-20","Miles Mikolas","STL",1,5,18,2,0,0,2,2,1,0,0,0,1,0.4,0.4,1,0.5888517498970032,9803
"2024-04-20","Ronel Blanco","HOU",1,4,9,1,0,0,1,1,1,0,0,0,1,0.25,0.25,1,0.5149495005607605,19407
