Date,Name,Tm,G,TBF,ERA,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG,OBP,SLG,wOBA,playerId
2024-05-19,Chris Paddack,MIN,1,5,18,2,0,0,2,2,1,0,0,0,1,0.4,0.4,1.0,0.5880652785301208,20099
2024-05-25,Chris Paddack,MIN,1,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,20099
2024-05-30,Chris Paddack,MIN,1,5,18,1,0,0,2,2,1,1,0,0,2,0.25,0.4,1.0,0.5494002938270569,20099
2024-06-05,Chris Paddack,MIN,1,8,36,5,2,0,4,4,0,0,0,0,1,0.625,0.625,0.875,0.6460037901997566,20099
2024-06-10,Chris Paddack,MIN,1,4,0,2,0,0,0,0,0,0,0,0,1,0.5,0.5,0.5,0.4419675767421722,20099
2024-06-16,Chris Paddack,MIN,1,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,20099
2024-06-21,Chris Paddack,MIN,1,6,9,3,0,0,1,1,0,0,0,0,1,0.5,0.5,0.5,0.4419675767421722,20099
2024-07-08,Chris Paddack,MIN,1,3,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,20099
2024-07-14,Chris Paddack,MIN,1,3,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,20099
2024-03-31,Chris Sale,ATL,1,4,9,1,0,0,1,1,1,0,0,0,1,0.25,0.25,1.0,0.5140978097915649,10603
2024-04-07,Chris Sale,ATL,1,3,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,10603
2024-04-13,Chris Sale,ATL,1,5,9,1,0,0,1,1,1,1,0,0,1,0.25,0.4,1.0,0.5494002938270569,10603
2024-04-19,Chris Sale,ATL,1,4,9,1,0,0,1,1,1,0,0,0,0,0.25,0.25,1.0,0.5140978097915649,10603
2024-04-26,Chris Sale,ATL,1,5,9,1,0,0,1,1,1,1,0,0,0,0.25,0.4,1.0,0.5494002938270569,10603
2024-05-01,Chris Sale,ATL,1,3,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,10603
2024-05-08,Chris Sale,ATL,1,5,0,1,1,0,0,0,0,1,0,0,2,0.25,0.4,0.5,0.3897445321083069,10603
